[QUOTE_UNIXTIME], [QUOTE_READTIME], [QUOTE_DATE], [QUOTE_TIME_HOURS], [UNDERLYING_LAST], [EXPIRE_DATE], [EXPIRE_UNIX], [DTE], [C_DELTA], [C_GAMMA], [C_VEGA], [C_THETA], [C_RHO], [C_IV], [C_VOLUME], [C_LAST], [C_SIZE], [C_BID], [C_ASK], [STRIKE], [P_BID], [P_ASK], [P_SIZE], [P_LAST], [P_DELTA], [P_GAMMA], [P_VEGA], [P_THETA], [P_RHO], [P_IV], [P_VOLUME], [STRIKE_DISTANCE], [STRIKE_DISTANCE_PCT]
1459540800, 2016-04-01 16:00, 2016-04-01, 16.000000, 109.990000, 2016-04-01, 1459540800, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 10.000000, 16.240000, 59 x 33, 16.300000, 16.540000, 93.500000, 0.000000, 0.010000, 0 x 1094, 0.000000, -0.002580, 0.001250, 0.000800, -0.004630, 0.000000, 1.113320, , 16.500000, 0.150000
1459540800, 2016-04-01 16:00, 2016-04-01, 16.000000, 109.990000, 2016-04-01, 1459540800, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 314.000000, 15.800000, 764 x 282, 15.800000, 16.050000, 94.000000, 0.000000, 0.010000, 0 x 1320, 0.010000, -0.002550, 0.001280, 0.000130, -0.005380, -0.000130, 1.079480, 8.000000, 16.000000, 0.145000
1459540800, 2016-04-01 16:00, 2016-04-01, 16.000000, 109.990000, 2016-04-01, 1459540800, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 5.000000, 15.300000, 59 x 47, 15.300000, 15.560000, 94.500000, 0.000000, 0.010000, 0 x 994, 0.000000, -0.003080, 0.001370, 0.000730, -0.004940, 0.000000, 1.046270, , 15.500000, 0.141000
1459540800, 2016-04-01 16:00, 2016-04-01, 16.000000, 109.990000, 2016-04-01, 1459540800, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 47.000000, 14.890000, 491 x 295, 14.810000, 15.060000, 95.000000, 0.000000, 0.010000, 0 x 993, 0.000000, -0.002670, 0.001460, 0.000740, -0.005020, 0.000000, 1.013380, , 15.000000, 0.136000
1459540800, 2016-04-01 16:00, 2016-04-01, 16.000000, 109.990000, 2016-04-01, 1459540800, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 7.000000, 13.670000, 59 x 33, 14.300000, 14.550000, 95.500000, 0.000000, 0.010000, 0 x 1384, 0.000000, -0.002540, 0.001540, 0.000210, -0.005350, 0.000000, 0.979550, , 14.500000, 0.132000
1459540800, 2016-04-01 16:00, 2016-04-01, 16.000000, 109.990000, 2016-04-01, 1459540800, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 135.000000, 13.950000, 852 x 278, 13.790000, 14.060000, 96.000000, 0.000000, 0.010000, 0 x 1243, 0.010000, -0.002620, 0.001690, 0.000170, -0.005020, 0.000000, 0.946550, 0.000000, 14.000000, 0.127000
1459540800, 2016-04-01 16:00, 2016-04-01, 16.000000, 109.990000, 2016-04-01, 1459540800, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 4.000000, 13.350000, 732 x 265, 13.290000, 13.550000, 96.500000, 0.000000, 0.010000, 0 x 843, 0.000000, -0.003470, 0.001760, 0.000130, -0.004760, 0.000000, 0.913150, , 13.500000, 0.123000
1459540800, 2016-04-01 16:00, 2016-04-01, 16.000000, 109.990000, 2016-04-01, 1459540800, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 91.000000, 12.900000, 454 x 438, 12.800000, 13.050000, 97.000000, 0.000000, 0.010000, 0 x 744, 0.010000, -0.003660, 0.001930, 0.000090, -0.004630, 0.000000, 0.880780, 3.000000, 13.000000, 0.118000
1459540800, 2016-04-01 16:00, 2016-04-01, 16.000000, 109.990000, 2016-04-01, 1459540800, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 24.000000, 12.370000, 296 x 251, 12.290000, 12.550000, 97.500000, 0.000000, 0.010000, 0 x 694, 0.000000, -0.003160, 0.002020, 0.000510, -0.005220, -0.000040, 0.847650, , 12.500000, 0.114000
1459540800, 2016-04-01 16:00, 2016-04-01, 16.000000, 109.990000, 2016-04-01, 1459540800, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 59.000000, 11.950000, 751 x 280, 11.800000, 12.050000, 98.000000, 0.000000, 0.020000, 0 x 956, 0.010000, -0.003170, 0.002210, 0.001010, -0.004810, 0.000000, 0.814600, 44.000000, 12.000000, 0.109000
1459540800, 2016-04-01 16:00, 2016-04-01, 16.000000, 109.990000, 2016-04-01, 1459540800, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 38.000000, 11.090000, 248 x 230, 11.300000, 11.550000, 98.500000, 0.000000, 0.010000, 0 x 643, 0.010000, -0.003840, 0.002370, 0.000950, -0.005110, 0.000000, 0.782030, 6.000000, 11.500000, 0.104000
